Samples	OTUhits	OTUs	percentOTUs	Readshit	Reads	percentReads	EnvirTypes	ace	chao1	shannon	simpson	goods_coverage	observed_otus
ERR1559612	0	559	0	0	10063	0	NSS	5575.59299169	5369.37987679671	10.2103384329	0.99703844252	0.849325776822	2875
ERR1559618	0	608	0	0	10099	0	NSS	5277.81688429	5060.66798418972	10.2994769229	0.997792350412	0.855633802817	2841
ERR1559621	0	561	0	0	10050	0	NSS	4728.52575053	4731.39069264069	9.90081453715	0.990133489876	0.867562003725	2687
ERR1559638	0	520	0	0	10043	0	NSS	5167.48828834	5121.16832669323	9.85769338157	0.984769671891	0.855167679937	2875
ERR1559644	0	568	0	0	10013	0	NSS	5460.62353299	5278.15280289331	10.2997754175	0.993492899346	0.84769441188	3045
ERR1559649	0	512	0	0	10099	0	NSS	5121.99641975	4959.05041152263	9.8474157527	0.990175053055	0.858676556705	2789
ERR1559674	0	433	0	0	9986	0	NSS	4895.24630464	4609.49097065463	9.07702786743	0.98697331406	0.866679698954	2476
ERR1559686	0	557	0	0	10050	0	NSS	4907.11766975	4839.5042462845	9.71574115342	0.986193688765	0.862965497019	2712
ERR1559700	0	519	0	0	9996	0	NSS	5151.97425315	5075.75492610838	9.37548363768	0.979838919989	0.861347027454	2554
ERR1559723	0	519	0	0	10108	0	NSS	4070.81479786	3912.57124352332	9.21127739897	0.983920354965	0.8898007034	2226
ERR1559733	0	493	0	0	9947	0	NSS	4842.423256	4759.89816933638	9.45124212864	0.979072784725	0.86727219455	2588
ERR1581950	0	258	0	0	9942	0	NSS	4424.6294926	4274.6328320802	9.48453194422	0.995686170955	0.880278240423	2294
ERR1581952	0	290	0	0	9995	0	NSS	4666.78746906	4510.71078431373	9.79358228201	0.996987712898	0.875134553283	2420
ERR1581955	0	300	0	0	9972	0	NSS	4596.84479706	4464.40512820513	9.64590509015	0.996299340981	0.876741903827	2346
ERR1581960	0	249	0	0	9987	0	NSS	4867.59897967	4811.19141531323	9.85243687494	0.996962709316	0.86641221374	2546
ERR1581961	0	269	0	0	9964	0	NSS	4653.91951169	4543.52	9.59227608456	0.995336408885	0.874315336463	2395
ERR1581962	0	271	0	0	9859	0	NSS	4723.05988258	4563.07112526539	9.95582269852	0.997148196511	0.869339345226	2584
ERR1581965	0	261	0	0	10012	0	NSS	4808.93433949	4780.86375321337	9.73468129578	0.996639929381	0.870450097847	2443
ERR1581968	0	263	0	0	10038	0	NSS	4244.17204667	4021.12626262626	9.57623763458	0.996301329994	0.886334735401	2248
ERR1581973	0	274	0	0	10042	0	NSS	4160.57697396	3960.56455696203	9.65804073338	0.996916806457	0.888161750342	2257
ERR1581977	0	262	0	0	10030	0	NSS	4893.20657541	4893.80533333333	9.76064983991	0.996676232517	0.869327073552	2455
ERR1581978	0	258	0	0	10000	0	NSS	4577.71613125	4447.57051282051	9.78163000976	0.997084445932	0.877848410758	2378
ERR1581979	0	275	0	0	10002	0	NSS	4507.35831185	4340.68048128342	9.61832595395	0.996695127003	0.880912741161	2270
ERR1581981	0	273	0	0	10039	0	NSS	4360.90522591	4405.87647058823	9.60150249172	0.996564050503	0.883352872216	2254
ERR1581986	0	265	0	0	10068	0	NSS	3931.91976185	3860.13736263736	9.61634350006	0.996808264878	0.892836228772	2187
ERR1581998	0	271	0	0	10041	0	NSS	4884.45544063	4916.62269129288	9.92627866707	0.997529373169	0.8689453125	2486
ERR1582004	0	246	0	0	10039	0	NSS	4043.33685643	4092.34627831715	9.45238801671	0.996282418504	0.892369242779	2110
ERR1582010	0	251	0	0	9989	0	NSS	4024.74350988	3840.92519685039	9.4218358199	0.9957645686	0.891149144254	2163
ERR1589263	0	455	0	0	9825	0	NSS	5121.93418593	5099.91339491917	9.45245993364	0.993802262232	0.857792142208	2474
ERR1589266	0	416	0	0	10146	0	NSS	2601.53286657	2631.26825396825	9.21644885634	0.995689575803	0.928268337038	1712
ERR1589267	0	407	0	0	9961	0	NSS	3722.89272318	3844.84023668639	9.45143465695	0.995819560511	0.895728255275	2010
ERR1589269	0	426	0	0	9593	0	NSS	4064.18167417	4358.71571428571	9.81892916486	0.997359341769	0.877162250931	2178
ERR1589279	0	451	0	0	10164	0	NSS	4076.13856692	3981.77049180328	9.56767370735	0.995595367145	0.890362511052	2202
ERR1589294	0	453	0	0	10076	0	NSS	2797.53617589	2939.59907120743	9.29094841223	0.995492933893	0.921325472657	1809
ERR1589297	0	489	0	0	10078	0	NSS	3529.75271776	3494.22944297082	9.66184129274	0.996843020004	0.902852049911	2127
ERR1589299	0	482	0	0	9697	0	NSS	3044.85783506	3196.61139896373	9.6145653541	0.996459380088	0.911506276151	1972
ERR1589308	0	337	0	0	9829	0	NSS	2561.81897452	2890.89484978541	8.80280157697	0.994300111174	0.928937653815	1480
ERR1589312	0	302	0	0	10034	0	NSS	1928.80147951	2074.19285714286	8.23993387382	0.990803053404	0.946608496936	1177
ERR1589314	0	366	0	0	10011	0	NSS	2330.18773269	2405.38030888031	8.93762513702	0.994297331147	0.927965622526	1478
ERR1589316	0	360	0	0	9580	0	NSS	3062.55469321	3347.56335616438	9.17204539614	0.995774323925	0.908103958767	1695
ERR1589322	0	364	0	0	9939	0	NSS	4303.7796983	4229.82152588556	8.43871470157	0.979216989295	0.883448483028	2076
ERR1589325	0	284	0	0	10154	0	NSS	1834.10526047	1947.00284090909	7.99214916437	0.989715281622	0.951070336391	1118
ERR1589335	0	255	0	0	10106	0	NSS	2078.44131789	2130.67039106145	7.80358678561	0.986283119104	0.945280031664	1137
ERR1589342	0	197	0	0	9302	0	NSS	2571.98290963	2659.50995024876	9.13278353265	0.996266622708	0.80206185567	1133
ERR1589344	0	364	0	0	8891	0	NSS	2826.43996586	3081.01584507042	9.38246517362	0.996769430602	0.902530225601	1649
ERR1589746	0	509	0	0	10175	0	NSS	4126.28200853	4100.03623188406	9.57202084414	0.996554363706	0.889607843137	2171
ERR1589750	0	526	0	0	10162	0	NSS	4758.15452462	4671.7193877551	9.73228784679	0.99633943147	0.872265280094	2429
ERR1589765	0	487	0	0	10161	0	NSS	4793.58464668	4486.12216624685	9.6003719144	0.996414334407	0.874546346248	2344
ERR1589780	0	526	0	0	10201	0	NSS	4096.14972223	4377.39335664336	9.58128124139	0.996387451479	0.890836107304	2127
ERR1589781	0	580	0	0	10196	0	NSS	4119.04888396	4118.01775147929	9.61681308479	0.996298433667	0.890315624387	2181
ERR1589784	0	476	0	0	10182	0	NSS	3237.53243896	3169.41290322581	8.66689717935	0.988468990267	0.911539217614	1791
